company_name,email,phone,address,review,company_url,service
EDISTUDIO COMUNICACIÓN,,915765250,"PASEO CASTELLANA, 257 4 28046 MADRID (MADRID)",4.5,http://www.estudiodecomunicacion.com,Comunicación y relaciones públicas
ASESORES DE RELACIONES PUBLICAS Y COMUNICACIÓN,comunicacion@comunicacionrrpp.com,915774554,"CALLE DE LA BASILICA 19, 4A 28020 MADRID (MADRID)",4.5,https://www.comunicacionrrpp.com,Comunicación y relaciones públicas
OSTOSSOLA,,913095971,"CALLE AYALA, 86 BJ IZDA 28001 MADRID (MADRID)",4.5,https://www.ostossola.com,Comunicación y relaciones públicas
INTROIBÉRICA,Agenciapr@introiberica.com,914351286,"CALLE RETAMAR, 11 28043 MADRID (MADRID)",4.5,http://www.introiberica.com,Comunicación y relaciones públicas
EDISTUDIO COMUNICACIÓN,,915765430,"CALLE JORGE JUAN, 7 28001 MADRID (MADRID)",4.0,http://www.estudiodecomunicacion.com,Comunicación y relaciones públicas
PLANNER MEDIA,,917870300,"CALLE ADELA DE BALBOA, 3 4 28039 MADRID (MADRID)",3.0,http://www.plannermedia.com,Comunicación y relaciones públicas
SCR-RRPP,,934342920,"CARRER BELLESGUARD, 43 08035 BARCELONA (BARCELONA)",3.0,http://www.scr-rrpp.com,Comunicación y relaciones públicas
QMSCOMUNICACION,,913431286,"CALLE ARTURO SORIA, 180 4 A 28043 MADRID (MADRID)",3.0,http://www.qmscomunicacion.com,Comunicación y relaciones públicas
MAS CONSULTING GROUP ASESORES DE COMUNICACION S.L.,Info@masconsulting.es,915615774,"CALLE SERRANO, 31 4 IZDA 28001 MADRID (MADRID)",3.0,https://www.masconsulting.es/,Comunicación y relaciones públicas
SCR-RRPP,Sheena.campbell@scr-rrpp.com,932123295,"CARRER BELLESGUARD, 43 08035 BARCELONA (BARCELONA)",3.0,http://www.scr-rrpp.com,Comunicación y relaciones públicas
TMORGANIZADOR,,974243466,"AVENIDA DE LOS PIRINEOS, 12 1 B 22004 HUESCA (HUESCA)",3.0,http://www.tmorganizador.com,Comunicación y relaciones públicas
ASUNTOS PÚBLICOS ESTRATEGOS S.L.,Info@estrategos.org,,"CALLE HENRI DUNANT 17, DESP 1, 28036 MADRID (MADRID)",3.0,http://www.estrategos.com,Comunicación y relaciones públicas
EDELMAN,Richard.edelman@edelman.com,915560154,"PASEO CASTELLANA, 91 28046 MADRID (MADRID)",3.0,http://www.edelman.es,Comunicación y relaciones públicas
MAHALA,,934127878,"CALLE CONDE DE XIQUENA, 9 3 DERECHA 28004 MADRID (MADRID)",3.0,http://www.mahala.org,Comunicación y relaciones públicas
ALEPH COMUNICACION SL,Patricia.criado@alephcom.es,913866999,"AVENIDA MANOTERAS, 38 OFI 514 D 5 28050 MADRID (MADRID)",3.0,http://www.alephcom.es,Comunicación y relaciones públicas
SHACKLETON,,913202194,"GLORIETA PEREZ CIDON, 4 28027 MADRID (MADRID)",3.0,http://www.shackleton.es,Comunicación y relaciones públicas
ICM,Madrid@edelman.com,,"CALLE ALMAGRO, 25 2 IZ 28010 MADRID (MADRID)",3.0,,Comunicación y relaciones públicas
EDELMAN,,934672601,"CARRER GRACIA, 86 08012 BARCELONA (BARCELONA)",3.0,http://www.edelman.es,Comunicación y relaciones públicas
ALEPH COMUNICACION SL,,,"CALLE CASTILLA, 3 28039 MADRID (MADRID)",3.0,http://www.alephcom.es,Comunicación y relaciones públicas
EDISTUDIO COMUNICACIÓN,,915765250,"PASEO CASTELLANA, 257 4 28046 MADRID (MADRID)",4.5,http://www.estudiodecomunicacion.com,Comunicación y relaciones públicas
ASESORES DE RELACIONES PUBLICAS Y COMUNICACIÓN,comunicacion@comunicacionrrpp.com,915774554,"CALLE DE LA BASILICA 19, 4A 28020 MADRID (MADRID)",4.5,https://www.comunicacionrrpp.com,Comunicación y relaciones públicas
OSTOSSOLA,,913095971,"CALLE AYALA, 86 BJ IZDA 28001 MADRID (MADRID)",4.5,https://www.ostossola.com,Comunicación y relaciones públicas
INTROIBÉRICA,Agenciapr@introiberica.com,914351286,"CALLE RETAMAR, 11 28043 MADRID (MADRID)",4.5,http://www.introiberica.com,Comunicación y relaciones públicas
